Company,Industry,CurrentV,Date,Funding,Valuation,,
Uber,On-Demand,68000000000,2016-8-1,1000000000,68000000000,,
Uber,On-Demand,68000000000,2016-7-8,1150000000,,,
Uber,On-Demand,68000000000,2016-6-1,3500000000,,,
Uber,On-Demand,68000000000,2016-2-12,200000000,,,
Uber,On-Demand,68000000000,2015-8-19,100000000,62500000000,,
Uber,On-Demand,68000000000,2015-7-31,1000000000,,,
Uber,On-Demand,68000000000,2015-4-13,200000000,,,
Uber,On-Demand,68000000000,2015-2-18,1000000000,,,
Uber,On-Demand,68000000000,2015-1-21,1600000000,,,
Uber,On-Demand,68000000000,2014-12-5,1200000000,40000000000,,
Uber,On-Demand,68000000000,2014-7-29,990000,,,
Uber,On-Demand,68000000000,2014-6-6,1200000000,,,
Uber,On-Demand,68000000000,2013-8-23,258000000,3500000000,,
Uber,On-Demand,68000000000,2012-5-7,5000000,347000000,,
Uber,On-Demand,68000000000,2011-12-12,32000000,347000000,,
Uber,On-Demand,68000000000,2011-2-14,11000000,60000000,,
Uber,On-Demand,68000000000,2010-10-25,1500000,4000000,,
Uber,On-Demand,68000000000,2009-8-1,250000,,,
AirBnB,eCommerce,30000000000,2016-8-8,555500000,30000000000,,
AirBnB,eCommerce,30000000000,2016-6-16,1000000000,,,
AirBnB,eCommerce,30000000000,2015-11-20,100000000,25500000000,,
AirBnB,eCommerce,30000000000,2015-6-27,1500000000,,,
AirBnB,eCommerce,30000000000,2014-8-1,475000000,10000000000,,
AirBnB,eCommerce,30000000000,2013-12-31,0,,,
AirBnB,eCommerce,30000000000,2012-10-24,200000000,2500000000,,
AirBnB,eCommerce,30000000000,2011-7-26,112000000,1300000000,,
AirBnB,eCommerce,30000000000,2010-11-11,7200000,,,
AirBnB,eCommerce,30000000000,2009-4-8,600000,,,
AirBnB,eCommerce,30000000000,2009-1-26,20000,,,
Palantir,Big Data,20000000000,2016-11-24,200000000,20000000000,,
Palantir,Big Data,20000000000,2015-10-21,429800000,20000000000,,
Palantir,Big Data,20000000000,2015-7-23,450000000,,,
Palantir,Big Data,20000000000,2014-12-11,50000000,15000000000,,
Palantir,Big Data,20000000000,2014-9-12,336700000,,,
Palantir,Big Data,20000000000,2013-12-5,107500000,9000000000,,
Palantir,Big Data,20000000000,2013-9-28,196500000,,,
Palantir,Big Data,20000000000,2012-5-16,56100000,,,
Palantir,Big Data,20000000000,2011-10-19,70000000,2500000000,,
Palantir,Big Data,20000000000,2011-5-5,50000000,,,
Palantir,Big Data,20000000000,2010-6-4,90000000,735000000,,
Palantir,Big Data,20000000000,2009-11-10,34900000,,,
Palantir,Big Data,20000000000,2008-2-18,40000000,,,
Palantir,Big Data,20000000000,2006-6-19,12700000,,,
SpaceX,other Transportation,12000000000,2015-1-20,1000000000,12000000000,,
SpaceX,other Transportation,12000000000,2012-12-1,30000000,,,
SpaceX,other Transportation,12000000000,2011-11-11,50000000,,,
SpaceX,other Transportation,12000000000,2009-3-7,15000000,,,
SpaceX,other Transportation,12000000000,2008-8-8,20000000,,,
SpaceX,other Transportation,12000000000,2006-3-21,10000000,,,
WeWork,Facilities,16900000000,2016-10-12,260000000 ,16900000000,,
WeWork,Facilities,16900000000,2016-3-9,430000000 ,16000000000,,
WeWork,Facilities,16900000000,2015-6-26,433900000 ,10000000000,,
WeWork,Facilities,16900000000,2014-12-16,355000000 ,5000000000,,
WeWork,Facilities,16900000000,2014-2-3,157000000 ,1500000000,,
WeWork,Facilities,16900000000,2013-5-1,40000000,,,
WeWork,Facilities,16900000000,2012-1-30,6850000,,,
WeWork,Facilities,16900000000,2012-1-1,17000000,,,
WeWork,Facilities,16900000000,2011-10-7,1000000,,,
Flipkart,eCommerce,16000000000,2017-2-18,38700000 ,16000000000,,
Flipkart,eCommerce,16000000000,2016-3-7,67000000,,,
Flipkart,eCommerce,16000000000,2015-12-21,100000000,,,
Flipkart,eCommerce,16000000000,2015-7-28,100000000 ,16000000000,,
Flipkart,eCommerce,16000000000,2015-6-4,50000000,,,
Flipkart,eCommerce,16000000000,2015-5-19,550000000,15000000000,,
Flipkart,eCommerce,16000000000,2014-12-20,700000000,11000000000,,
Flipkart,eCommerce,16000000000,2014-7-29,1000000000,7000000000,,
Flipkart,eCommerce,16000000000,2014-5-26,210000000,1600000000,,
Flipkart,eCommerce,16000000000,2013-10-9,160000000,1000000000,,
Flipkart,eCommerce,16000000000,2013-7-10,200000000,1040000000,,
Flipkart,eCommerce,16000000000,2012-8-6,150000000,,,
Flipkart,eCommerce,16000000000,2011-6-16,20000000,,,
Xiaomi,Hardware,46000000000,2014-12-29,1100000000,46000000000,,
Xiaomi,Hardware,46000000000,2014-10-29,1000000000,,,
Xiaomi,Hardware,46000000000,2013-8-22,0,10000000000,,
Xiaomi,Hardware,46000000000,2012-6-27,216000000,4000000000,,
Xiaomi,Hardware,46000000000,2011-12-21,90000000,1000000000,,
Xiaomi,Hardware,46000000000,2010-4-7,41000000,,,
Didi,On-Demand,33800000000,2016-9-8,119900000,33800000000,,
Didi,On-Demand,33800000000,2016-8-1,0,36000000000,,
Didi,On-Demand,33800000000,2016-6-24,400000000,,,
Didi,On-Demand,33800000000,2016-6-15,2500000000,,,
Didi,On-Demand,33800000000,2016-6-13,605000000,,,
Didi,On-Demand,33800000000,2016-5-13,1000000000,,,
Didi,On-Demand,33800000000,2016-1-26,200000000,,,
Didi,On-Demand,33800000000,2015-9-8,1000000000,16500000000,,
Didi,On-Demand,33800000000,2015-7-8,2000000000,,,
Didi,On-Demand,33800000000,2015-6-24,160900000,,,
Didi,On-Demand,33800000000,2015-5-27,142000000,,,
Didi,On-Demand,33800000000,2015-5-31,600000000,,,
Meituan, eCommerce,18000000000 ,2016-1-19,500000000 ,18000000000,,
Meituan, eCommerce,18000000000 ,2015-12-22,2800000000 ,15000000000,,
Lufax,Fintech,18500000000,2016-1-8,1220000000,18500000000,,
Lufax,Fintech,18500000000,2015-4-18, 485000000,10000000000,,
